fileExtracted,Color0,Color2,Color4,Color8,relevante,topic_covid,topic_econ,delta,omicron,alza_casos,baja_casos,R0,R0_2,R0_4,R0_8,lugar
1608_COVID+Tabasco,1.0,1.0,1.0,2.0,12.0,0.13513873852271524,0.17577621290988327,1,0,3,8,7.0,7.0,7.0,7.0,Tabasco
1609_COVID+Tabasco,1.0,1.0,1.0,1.0,8.0,0.13513873852271524,0.20228713323700337,0,4,2,10,10.0,10.0,10.0,10.0,Tabasco
160_COVID+Baja+California+Sur,2.0,3.0,3.0,3.0,8.0,0.09868862321733927,0.10191057138949952,0,0,3,19,2.5,5.0,7.000000000000001,7.250000000000001,Baja_California_Sur
1610_COVID+Tabasco,1.0,1.0,1.0,1.0,9.0,0.13513873852271524,0.20228713323700337,0,4,2,6,10.0,10.0,10.0,10.0,Tabasco
1611_COVID+Tabasco,1.0,1.0,1.0,1.0,11.5,0.13513873852271524,0.08860708923341547,4,2,12,17,10.0,10.0,10.0,10.0,Tabasco
1612_COVID+Tabasco,1.0,1.0,1.0,1.0,11.0,0.13513873852271524,0.20228713323700337,0,0,4,15,2.5,2.5,2.5,2.5,Tabasco
1613_COVID+Tabasco,1.0,1.0,1.0,1.0,7.0,0.0,0.09531510295749379,14,0,5,6,7.0,7.0,7.0,7.0,Tabasco
1614_COVID+Tabasco,1.0,1.0,1.0,2.0,11.0,0.13513873852271524,0.18392219219090927,6,0,10,15,7.0,7.0,7.0,7.0,Tabasco
1615_COVID+Tamaulipas,4.0,4.0,4.0,2.0,9.0,0.09237966861898057,0.09531510295749379,0,0,6,8,2.5,10.0,10.0,10.0,Tamaulipas
1616_COVID+Tamaulipas,4.0,3.0,2.0,2.0,8.0,0.11917996170181146,0.14477278380879371,1,0,4,10,7.0,28.0,22.400000000000002,16.1,Tamaulipas
1617_COVID+Tamaulipas,4.0,3.0,2.0,2.0,7.5,0.13513873852271524,0.1964023969299592,0,0,4,16,2.5,10.0,8.0,5.750000000000001,Tamaulipas
1618_COVID+Tamaulipas,4.0,4.0,3.0,2.0,6.0,0.13513873852271524,0.14477278380879371,0,0,3,5,2.5,10.0,10.0,8.0,Tamaulipas
1619_COVID+Tamaulipas,4.0,4.0,4.0,2.0,6.0,0.13513873852271524,0.16675646316711965,0,0,2,6,2.5,10.0,10.0,10.0,Tamaulipas
161_COVID+Baja+California+Sur,2.0,3.0,3.0,3.0,11.0,0.2275184071416958,0.10697203027950959,0,0,13,24,2.5,5.0,7.000000000000001,7.250000000000001,Baja_California_Sur
1620_COVID+Tamaulipas,4.0,3.0,3.0,4.0,5.0,0.0,0.10697203027950959,0,0,3,11,2.5,10.0,8.0,7.750000000000002,Tamaulipas
1621_COVID+Tamaulipas,4.0,3.0,3.0,1.0,9.0,0.13513873852271524,0.0,3,1,4,8,10.0,40.0,32.0,31.000000000000007,Tamaulipas
1622_COVID+Tamaulipas,3.0,3.0,3.0,4.0,10.0,0.13513873852271524,0.08860708923341547,11,0,9,14,7.0,21.0,21.000000000000004,21.000000000000004,Tamaulipas
1623_COVID+Tamaulipas,3.0,4.0,3.0,2.0,9.5,0.13513873852271524,0.08046110995238946,3,0,10,6,7.0,21.0,26.6,21.700000000000003,Tamaulipas
1624_COVID+Tamaulipas,3.0,2.0,2.0,2.0,6.0,0.09868862321733927,0.12334167759914662,0,0,3,7,2.5,7.5,5.5,5.25,Tamaulipas
1625_COVID+Tamaulipas,3.0,2.0,2.0,3.0,8.0,0.09868862321733927,0.12056888333170633,1,0,8,12,7.0,21.0,15.400000000000002,14.700000000000001,Tamaulipas
1626_COVID+Tamaulipas,3.0,2.0,1.0,1.0,9.0,0.13513873852271524,0.0,2,0,2,8,7.0,21.0,15.400000000000002,9.1,Tamaulipas
1627_COVID+Tamaulipas,3.0,4.0,4.0,3.0,6.5,0.13513873852271524,0.14366267324941298,0,0,7,16,2.5,7.5,9.5,9.75,Tamaulipas
1628_COVID+Tamaulipas,3.0,3.0,3.0,4.0,9.0,0.04934431160866964,0.09531510295749379,8,0,8,4,7.0,21.0,21.000000000000004,21.000000000000004,Tamaulipas
1629_COVID+Tamaulipas,3.0,2.0,2.0,1.0,11.0,0.09868862321733927,0.18324305511348804,0,0,10,15,2.5,7.5,5.5,5.25,Tamaulipas
162_COVID+Baja+California+Sur,2.0,3.0,3.0,3.0,6.0,0.19963469282281388,0.10697203027950959,0,0,3,26,2.5,5.0,7.000000000000001,7.250000000000001,Baja_California_Sur
1630_COVID+Tamaulipas,3.0,4.0,3.0,2.0,9.0,0.13513873852271524,0.0,5,0,4,9,7.0,21.0,26.6,21.700000000000003,Tamaulipas
1631_COVID+Tamaulipas,3.0,3.0,2.0,1.0,9.0,0.13513873852271524,0.09531510295749379,8,0,1,4,7.0,21.0,21.000000000000004,15.400000000000002,Tamaulipas
1632_COVID+Tamaulipas,3.0,3.0,3.0,3.0,11.0,0.13513873852271524,0.08860708923341547,10,0,14,12,7.0,21.0,21.000000000000004,21.000000000000004,Tamaulipas
1633_COVID+Tamaulipas,3.0,2.0,2.0,3.0,9.0,0.0,0.09531510295749379,0,0,5,7,2.5,7.5,5.5,5.25,Tamaulipas
1634_COVID+Tamaulipas,3.0,3.0,2.0,2.0,7.5,0.0,0.09196109609545464,0,0,5,11,2.5,7.5,7.500000000000001,5.5,Tamaulipas
1635_COVID+Tamaulipas,3.0,2.0,2.0,1.0,7.0,0.0,0.10697203027950959,0,0,1,6,2.5,7.5,5.5,5.25,Tamaulipas
1636_COVID+Tamaulipas,3.0,2.0,1.0,1.0,10.0,0.0,0.08860708923341547,1,0,3,4,7.0,21.0,15.400000000000002,9.1,Tamaulipas
1637_COVID+Tamaulipas,3.0,4.0,4.0,3.0,6.0,0.13513873852271524,0.09531510295749379,0,0,5,8,2.5,7.5,9.5,9.75,Tamaulipas
1638_COVID+Tamaulipas,3.0,3.0,4.0,4.0,7.0,0.13513873852271524,0.14477278380879371,0,0,7,8,2.5,7.5,7.500000000000001,9.5,Tamaulipas
1639_COVID+Tamaulipas,2.0,2.0,2.0,2.0,7.0,0.09868862321733927,0.08860708923341547,0,0,2,10,2.5,5.0,5.0,5.0,Tamaulipas
163_COVID+Baja+California+Sur,2.0,2.0,2.0,3.0,12.0,0.09868862321733927,0.14477278380879371,0,0,3,15,2.5,5.0,5.0,5.0,Baja_California_Sur
1640_COVID+Tamaulipas,2.0,2.0,2.0,2.0,4.0,0.0,0.10697203027950959,3,0,0,3,7.0,14.0,14.0,14.0,Tamaulipas
1641_COVID+Tamaulipas,2.0,3.0,2.0,3.0,9.5,0.10315575568303066,0.09531510295749379,0,0,8,11,2.5,5.0,7.000000000000001,5.25,Tamaulipas
1642_COVID+Tamaulipas,2.0,2.0,2.0,3.0,8.5,0.0,0.04023055497619473,0,0,4,10,2.5,5.0,5.0,5.0,Tamaulipas
1643_COVID+Tamaulipas,2.0,1.0,1.0,1.0,10.0,0.0,0.08860708923341547,10,0,4,4,7.0,14.0,8.400000000000002,7.700000000000001,Tamaulipas
1644_COVID+Tamaulipas,2.0,2.0,2.0,1.0,10.0,0.09868862321733927,0.10697203027950959,0,0,3,15,2.5,5.0,5.0,5.0,Tamaulipas
